rank_test_score,mean_test_score,std_test_score,mean_fit_time,param_clf,param_clf__C,param_tfidf__ngram_range,param_tfidf__min_df
1,0.6355626804031776,0.008390306508755765,1.7955528100331624,LinearSVC,0.5,"(1, 2)",1
2,0.629305420884254,0.008435375336831608,2.133791923522949,LinearSVC,1.0,"(1, 2)",1
3,0.6288791357051268,0.00831217404008767,1.5453787644704182,LinearSVC,0.5,"(1, 1)",1
4,0.6261692200335648,0.008502256662715379,1.144629716873169,LinearSVC,0.5,"(1, 2)",2
5,0.6215664770981187,0.008749739213833947,2.9448503653208413,LinearSVC,2.0,"(1, 2)",1
6,0.6212496885811635,0.007085882096106229,0.8201549053192139,LinearSVC,0.5,"(1, 1)",2
7,0.6174865023987712,0.009151501589825499,0.8666307926177979,LinearSVC,1.0,"(1, 1)",1
8,0.6167526298231966,0.010022888248347944,24.977349281311035,LogisticRegression,2.0,"(1, 2)",1
9,0.6167171009007641,0.007076802509889393,1.3476401170094807,LinearSVC,1.0,"(1, 2)",2
10,0.6147355883795319,0.006485668010784127,7.358148654301961,LogisticRegression,2.0,"(1, 2)",2
11,0.6093993818318788,0.0034675232408721405,0.73343292872111,LinearSVC,0.5,"(1, 1)",5
12,0.6092650892894488,0.005158681721157363,1.2108615239461262,LinearSVC,0.5,"(1, 2)",5
13,0.6092293962376498,0.011368605614026254,4.391547441482544,LogisticRegression,2.0,"(1, 1)",1
14,0.6074228398012494,0.006671683006284838,0.8163084189097086,LinearSVC,1.0,"(1, 1)",2
15,0.6057113800286459,0.006529580035622189,6.092170476913452,LogisticRegression,1.0,"(1, 2)",2
16,0.6056774845850472,0.005974081313308594,1.7526896794637044,LinearSVC,2.0,"(1, 2)",2
17,0.6029602669145073,0.0059766634262312,22.896557887395222,LogisticRegression,1.0,"(1, 2)",1
18,0.6027531557403659,0.010665547723410414,3.8332732518514,LogisticRegression,2.0,"(1, 1)",2
19,0.6009876649061101,0.00651611920486254,1.0554211934407551,LinearSVC,2.0,"(1, 1)",1
20,0.6002425593457265,0.006074633340661118,4.417987108230591,LogisticRegression,1.0,"(1, 1)",1
21,0.5946991827488879,0.0020537451956800586,4.268460353215535,LogisticRegression,2.0,"(1, 2)",5
22,0.594516351695292,0.006857113168813571,2.997788667678833,LogisticRegression,1.0,"(1, 1)",2
23,0.594269430945713,0.005138340078356815,1.1686936219533284,LinearSVC,1.0,"(1, 2)",5
24,0.5920742025445868,0.0035815331502155774,0.743794838587443,LinearSVC,1.0,"(1, 1)",5
25,0.5895373138153192,0.006544660290666593,5.226809581120809,LogisticRegression,0.5,"(1, 2)",2
26,0.5878169077429156,0.009701025734543414,0.9145158131917318,LinearSVC,2.0,"(1, 1)",2
27,0.5866330198438894,0.003451207897172912,3.360251029332479,LogisticRegression,1.0,"(1, 2)",5
28,0.5861044358461945,0.004724567456094393,4.2755013306935625,LogisticRegression,0.5,"(1, 1)",1
29,0.5853027419940826,0.006340561785562486,2.395061731338501,LogisticRegression,0.5,"(1, 1)",2
30,0.5818733886532735,0.004475142660391834,2.459322770436605,LogisticRegression,2.0,"(1, 1)",5
31,0.5815796348202191,0.006009174388312804,15.818567355473837,LogisticRegression,0.5,"(1, 2)",1
32,0.5800132519911094,0.0034715012356344942,2.311959664026896,LogisticRegression,1.0,"(1, 1)",5
33,0.5752105300457532,0.005796582491351319,0.8524758021036783,LinearSVC,2.0,"(1, 1)",5
34,0.5748874695873661,0.005645309060576499,2.9614456494649253,LogisticRegression,0.5,"(1, 2)",5
35,0.5729656020716479,0.0024553617396753306,2.0876646041870117,LogisticRegression,0.5,"(1, 1)",5
36,0.5724273127137867,0.007985233872435984,1.2513713836669922,LinearSVC,2.0,"(1, 2)",5
