rank_test_score,mean_test_score,std_test_score,mean_fit_time,param_clf,param_clf__C,param_features__word__ngram_range,param_features__word__min_df
1,0.6628614487114003,0.007631926087240268,4.133556365966797,LinearSVC,0.25,"(1, 2)",1
2,0.6612649101227657,0.006027912321405079,3.851735273996989,LinearSVC,0.25,"(1, 2)",2
3,0.6577276854344635,0.004387492299496385,4.465911070505778,LinearSVC,0.5,"(1, 2)",1
4,0.6521427391785877,0.006304844852755517,4.213219563166301,LinearSVC,0.5,"(1, 2)",2
5,0.6472215585579894,0.004483729672998799,5.035975853602092,LinearSVC,1.0,"(1, 2)",1
6,0.6456941847170671,0.006643364494592603,35.18254272143046,LogisticRegression,1.0,"(1, 2)",1
7,0.6452265223368921,0.0077248258864237454,26.061832825342815,LogisticRegression,1.0,"(1, 2)",2
8,0.6406772332458522,0.004900651934334048,4.695606390635173,LinearSVC,1.0,"(1, 2)",2
9,0.6360015773768497,0.006150067518227359,21.54537844657898,LogisticRegression,0.5,"(1, 2)",2
10,0.6345331590613649,0.0061746961531425745,26.04867084821065,LogisticRegression,0.5,"(1, 2)",1
11,0.6231417724085602,0.005863356810510241,19.64966869354248,LogisticRegression,0.25,"(1, 2)",2
12,0.6201688704255527,0.006444376214228616,20.931792497634888,LogisticRegression,0.25,"(1, 2)",1
