id,timestamp,label_map,features,model,settings,eval_split,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,cv_macro_f1,purpose
E1,2026-09-14T19:11:30+00:00,v2,fs1,logreg,"TF-IDF ngram=(1, 2) min_df=2 max_df=0.95 sublinear=True; C=1.0; class_weight=balanced",validation,0.7312,0.6198,0.6871,0.6483,0.7360,,Baseline
E2,2026-09-14T19:11:32+00:00,v2,fs1,linear_svm,"TF-IDF ngram=(1, 2) min_df=2 max_df=0.95 sublinear=True; C=1.0; class_weight=balanced",validation,0.7502,0.6833,0.6635,0.6722,0.7487,,Comparison
E3,2026-09-14T19:13:35+00:00,v2,fs1,linear_svm,"TF-IDF ngram=(1, 2) min_df=1 max_df=0.95 sublinear=True; C=0.5; class_weight=balanced",validation,0.7681,0.7059,0.6886,0.6962,0.7665,0.6356,Best candidate (tuned)
E3-cal,2026-09-14T19:13:39+00:00,v2,fs1,linear_svm_calibrated,"TF-IDF ngram=(1, 2) min_df=1 max_df=0.95 sublinear=True; C=0.5; class_weight=balanced; sigmoid calibration cv=3",validation,0.7705,0.7648,0.6418,0.6920,0.7636,0.6356,Best candidate with calibrated probabilities
E3-final,2026-09-14T19:15:22+00:00,v2,fs1,linear_svm_calibrated,"TF-IDF ngram=(1, 2) min_df=1 max_df=0.95 sublinear=True; C=0.5; class_weight=balanced",test,0.7668,0.7481,0.6238,0.6720,0.7562,0.6356,Final model (single test evaluation)
E1,2026-09-14T19:29:50+00:00,v2,fs2,logreg,"fs2: word TF-IDF ngram=(1, 2) min_df=2 max_df=0.95 sublinear=True + emoji/punct tokens + char_wb(2,5); C=1.0; class_weight=balanced",validation,0.7499,0.6510,0.7071,0.6745,0.7550,,Baseline
E2,2026-09-14T19:29:58+00:00,v2,fs2,linear_svm,"fs2: word TF-IDF ngram=(1, 2) min_df=2 max_df=0.95 sublinear=True + emoji/punct tokens + char_wb(2,5); C=1.0; class_weight=balanced",validation,0.7672,0.7195,0.6788,0.6972,0.7655,,Comparison
E3,2026-09-14T19:35:02+00:00,v2,fs2,linear_svm,"fs2: word TF-IDF ngram=(1, 2) min_df=1 max_df=0.95 sublinear=True + emoji/punct tokens + char_wb(2,5); C=0.25; class_weight=balanced",validation,0.7800,0.7154,0.7160,0.7149,0.7783,0.6629,Best candidate (tuned)
E3-cal,2026-09-14T19:35:11+00:00,v2,fs2,linear_svm_calibrated,"fs2: word TF-IDF ngram=(1, 2) min_df=1 max_df=0.95 sublinear=True + emoji/punct tokens + char_wb(2,5); C=0.25; class_weight=balanced; sigmoid calibration cv=3",validation,0.7895,0.7803,0.6395,0.6954,0.7816,0.6629,Best candidate with calibrated probabilities
E3-final,2026-09-14T19:47:48+00:00,v2,fs2,linear_svm_calibrated,"fs2: word TF-IDF ngram=(1, 2) min_df=1 max_df=0.95 sublinear=True + emoji/punct tokens + char_wb(2,5); C=0.25; class_weight=balanced",test,0.7794,0.7357,0.6542,0.6862,0.7718,0.6629,Final model (single test evaluation)
E3-iso,2026-09-14T19:48:50+00:00,v2,fs2,linear_svm_calibrated,"fs2: word TF-IDF ngram=(1, 2) min_df=1 max_df=0.95 sublinear=True + emoji/punct tokens + char_wb(2,5); C=0.25; class_weight=balanced; isotonic calibration cv=3 ensemble=False",validation,0.7854,0.7545,0.6779,0.7110,0.7797,0.6629,"Deployed calibration (isotonic, chosen on validation)"
E4,2026-09-14T20:00:58+00:00,v2,transformer,distilbert,distilbert-base-uncased; epochs=4 batch=32 lr=3e-05 max_len=128 fp16 warmup=10% weight_decay=0.01 loss=sqrt-inverse-freq weighted CE,validation,0.7916,0.7136,0.7441,0.7276,0.7912,,Transformer comparison (optional phase)
E4-final,2026-09-14T20:02:56+00:00,v2,transformer,distilbert,distilbert-base-uncased; epochs=4 batch=32 lr=3e-05 max_len=128 fp16 warmup=10% weight_decay=0.01 loss=sqrt-inverse-freq weighted CE,test,0.7871,0.6975,0.7414,0.7167,0.7864,,Final model (single test evaluation)
